Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY 50,Short,2015-01-15 14:50:00,8515.85,2015-01-19 09:25:00,8560.65,-44.80,-44.80
NIFTY 50,Short,2015-01-20 15:10:00,8689.85,2015-01-21 09:15:00,8707.7,-17.85,-62.65
NIFTY 50,Short,2015-01-21 10:05:00,8720.6,2015-01-21 11:30:00,8714.25,6.35,-56.30
NIFTY 50,Short,2015-03-31 09:20:00,8506.1,2015-03-31 09:25:00,8513.1,-7.0,-63.30
NIFTY 50,Short,2015-07-31 14:35:00,8544.65,2015-08-03 09:15:00,8544.85,-0.20,-63.50
NIFTY 50,Short,2015-10-05 14:30:00,8106.0,2015-10-05 14:35:00,8112.05,-6.05,-69.55
NIFTY 50,Short,2015-10-19 09:30:00,8246.2,2015-10-19 11:55:00,8252.4,-6.2,-75.75
NIFTY 50,Short,2015-12-17 15:20:00,7844.65,2015-12-18 11:20:00,7805.2,39.45,-36.30
NIFTY 50,Short,2016-03-02 10:30:00,7349.1,2016-03-02 12:45:00,7368.7,-19.6,-55.90
NIFTY 50,Short,2016-03-17 09:55:00,7568.05,2016-03-17 11:35:00,7567.0,1.05,-54.85
NIFTY 50,Short,2016-04-12 09:45:00,7693.0,2016-04-12 11:00:00,7704.55,-11.55,-66.40
NIFTY 50,Short,2016-05-17 09:35:00,7898.05,2016-05-17 09:50:00,7907.8,-9.75,-76.15
NIFTY 50,Short,2016-05-25 15:05:00,7929.65,2016-05-25 15:15:00,7940.75,-11.10,-87.25
NIFTY 50,Short,2016-05-27 09:50:00,8123.5,2016-05-27 09:55:00,8127.3,-3.8,-91.05
NIFTY 50,Short,2016-06-15 15:10:00,8202.25,2016-06-16 11:20:00,8096.6,105.65,14.60
NIFTY 50,Short,2016-06-30 10:15:00,8270.0,2016-06-30 12:25:00,8258.8,11.2,25.80
NIFTY 50,Short,2016-07-11 10:35:00,8453.4,2016-07-11 12:15:00,8463.45,-10.05,15.75
