Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY 50,Short,2015-01-21 10:10:00,8715.75,2015-01-22 09:15:00,8741.5,-25.75,-25.75,StopLoss
NIFTY 50,Short,2015-02-16 09:55:00,8844.55,2015-02-16 10:10:00,8855.6,-11.05,-36.80,StopLoss
NIFTY 50,Short,2015-04-07 09:40:00,8657.65,2015-04-07 14:40:00,8631.45,26.20,-10.60,IndicatorCross
NIFTY 50,Short,2015-06-22 14:10:00,8344.45,2015-06-22 14:15:00,8353.55,-9.10,-19.70,StopLoss
NIFTY 50,Short,2015-06-22 14:55:00,8358.3,2015-06-23 09:15:00,8369.35,-11.05,-30.75,StopLoss
NIFTY 50,Short,2015-10-06 09:55:00,8138.45,2015-10-06 13:55:00,8144.1,-5.65,-36.40,IndicatorCross
NIFTY 50,Short,2015-12-16 12:40:00,7764.4,2015-12-17 09:15:00,7776.55,-12.15,-48.55,StopLoss
NIFTY 50,Short,2016-03-02 11:55:00,7359.0,2016-03-02 12:15:00,7364.8,-5.8,-54.35,StopLoss
NIFTY 50,Short,2016-03-03 09:40:00,7416.2,2016-03-03 10:25:00,7433.0,-16.8,-71.15,IndicatorCross
NIFTY 50,Short,2016-04-13 12:10:00,7827.8,2016-04-13 12:25:00,7831.0,-3.2,-74.35,IndicatorCross
NIFTY 50,Short,2016-04-13 13:55:00,7837.45,2016-04-13 14:30:00,7847.55,-10.10,-84.45,StopLoss
NIFTY 50,Short,2016-04-13 14:55:00,7854.4,2016-04-18 09:15:00,7864.65,-10.25,-94.70,StopLoss
NIFTY 50,Short,2016-04-18 10:55:00,7886.3,2016-04-18 11:10:00,7893.85,-7.55,-102.25,StopLoss
NIFTY 50,Short,2016-05-26 11:10:00,7970.2,2016-05-26 12:05:00,7981.6,-11.4,-113.65,StopLoss
NIFTY 50,Short,2016-05-26 14:25:00,8009.9,2016-05-26 14:35:00,8028.95,-19.05,-132.70,StopLoss
NIFTY 50,Short,2016-05-27 10:10:00,8116.1,2016-05-27 10:20:00,8127.9,-11.8,-144.50,StopLoss
NIFTY 50,Short,2016-05-27 11:25:00,8132.2,2016-05-27 13:05:00,8139.6,-7.4,-151.90,StopLoss
NIFTY 50,Short,2016-07-11 13:10:00,8456.7,2016-07-11 14:05:00,8462.95,-6.25,-158.15,StopLoss
NIFTY 50,Short,2016-08-31 10:10:00,8790.35,2016-08-31 13:25:00,8801.5,-11.15,-169.30,StopLoss
NIFTY 50,Short,2016-09-07 09:25:00,8924.0,2016-09-07 13:55:00,8948.85,-24.85,-194.15,IndicatorCross
NIFTY 50,Short,2016-12-30 12:55:00,8173.0,2016-12-30 13:10:00,8179.85,-6.85,-201.00,StopLoss
NIFTY 50,Short,2017-01-11 15:10:00,8379.25,2017-01-12 09:15:00,8388.8,-9.55,-210.55,StopLoss
NIFTY 50,Short,2017-01-12 09:55:00,8386.8,2017-01-12 13:10:00,8413.85,-27.05,-237.60,StopLoss
NIFTY 50,Short,2017-01-25 12:25:00,8524.9,2017-01-25 12:45:00,8530.95,-6.05,-243.65,StopLoss
NIFTY 50,Short,2017-01-27 12:10:00,8667.8,2017-01-30 13:25:00,8642.4,25.4,-218.25,IndicatorCross
NIFTY 50,Short,2017-04-25 13:10:00,9280.95,2017-04-25 14:00:00,9289.95,-9.00,-227.25,StopLoss
NIFTY 50,Short,2017-04-26 10:40:00,9344.4,2017-04-26 11:10:00,9352.45,-8.05,-235.30,IndicatorCross
NIFTY 50,Short,2017-04-26 11:40:00,9355.85,2017-04-26 14:00:00,9363.45,-7.60,-242.90,StopLoss
NIFTY 50,Short,2017-05-26 13:25:00,9571.25,2017-05-26 13:35:00,9583.05,-11.80,-254.70,StopLoss
NIFTY 50,Short,2017-07-11 10:10:00,9801.85,2017-07-11 11:25:00,9807.05,-5.20,-259.90,IndicatorCross
NIFTY 50,Short,2017-07-11 13:25:00,9813.75,2017-07-12 13:40:00,9808.15,5.60,-254.30,IndicatorCross
NIFTY 50,Short,2017-07-27 11:40:00,10102.3,2017-07-27 12:10:00,10104.1,-1.8,-256.10,IndicatorCross
NIFTY 50,Short,2017-10-13 14:55:00,10177.2,2017-10-16 09:15:00,10191.75,-14.55,-270.65,StopLoss
NIFTY 50,Short,2017-10-16 09:55:00,10229.4,2017-10-16 14:10:00,10228.85,0.55,-270.10,IndicatorCross
NIFTY 50,Short,2017-11-17 11:25:00,10315.45,2017-11-20 11:40:00,10284.65,30.80,-239.30,IndicatorCross
NIFTY 50,Short,2018-01-23 12:55:00,11059.1,2018-01-23 15:10:00,11087.15,-28.05,-267.35,StopLoss
NIFTY 50,Short,2018-02-26 11:25:00,10562.8,2018-02-26 13:05:00,10571.75,-8.95,-276.30,StopLoss
NIFTY 50,Short,2018-02-27 09:40:00,10591.85,2018-02-28 09:15:00,10491.85,100.00,-176.30,TakeProfit
NIFTY 50,Short,2018-08-20 14:25:00,11551.5,2018-08-21 09:15:00,11564.0,-12.5,-188.80,StopLoss
NIFTY 50,Short,2018-08-28 09:40:00,11723.5,2018-08-28 10:10:00,11735.9,-12.4,-201.20,StopLoss
NIFTY 50,Short,2019-02-01 13:25:00,10948.35,2019-02-01 14:05:00,10848.35,100.00,-101.20,TakeProfit
NIFTY 50,Short,2019-03-06 10:10:00,11031.85,2019-03-06 11:35:00,11043.8,-11.95,-113.15,StopLoss
NIFTY 50,Short,2019-03-12 11:25:00,11288.1,2019-03-12 14:35:00,11299.65,-11.55,-124.70,StopLoss
NIFTY 50,Short,2019-03-15 15:10:00,11414.5,2019-03-18 09:15:00,11475.45,-60.95,-185.65,StopLoss
NIFTY 50,Short,2019-05-20 14:25:00,11782.35,2019-05-20 15:00:00,11820.8,-38.45,-224.10,StopLoss
NIFTY 50,Short,2019-05-21 09:40:00,11848.35,2019-05-21 09:50:00,11855.75,-7.40,-231.50,StopLoss
NIFTY 50,Short,2019-05-21 10:25:00,11855.0,2019-05-21 13:15:00,11755.0,100.0,-131.50,TakeProfit
NIFTY 50,Short,2019-08-09 12:55:00,11159.65,2019-08-09 13:05:00,11175.9,-16.25,-147.75,StopLoss
NIFTY 50,Short,2019-08-27 09:40:00,11059.8,2019-08-27 10:10:00,11111.9,-52.1,-199.85,StopLoss
NIFTY 50,Short,2019-09-23 12:55:00,11644.65,2019-09-24 11:45:00,11544.65,100.00,-99.85,TakeProfit
NIFTY 50,Short,2019-10-18 10:10:00,11614.25,2019-10-18 10:25:00,11628.2,-13.95,-113.80,IndicatorCross
NIFTY 50,Short,2019-11-26 10:10:00,12098.0,2019-11-26 13:10:00,12099.2,-1.2,-115.00,IndicatorCross
NIFTY 50,Short,2020-03-26 10:55:00,8624.65,2020-03-26 11:30:00,8524.65,100.00,-15.00,TakeProfit
NIFTY 50,Short,2020-04-08 10:55:00,9016.0,2020-04-08 11:35:00,8916.0,100.0,85.00,TakeProfit
NIFTY 50,Short,2020-04-29 15:10:00,9551.35,2020-04-30 09:15:00,9589.35,-38.00,47.00,StopLoss
NIFTY 50,Short,2020-04-30 12:40:00,9849.15,2020-04-30 15:15:00,9877.5,-28.35,18.65,StopLoss
NIFTY 50,Short,2020-05-28 11:55:00,9443.75,2020-05-28 13:30:00,9485.45,-41.70,-23.05,StopLoss
NIFTY 50,Short,2020-06-01 13:25:00,9906.75,2020-06-01 15:20:00,9806.75,100.00,76.95,TakeProfit
NIFTY 50,Short,2020-07-20 10:40:00,10978.65,2020-07-20 13:10:00,10996.25,-17.60,59.35,IndicatorCross
NIFTY 50,Short,2021-04-28 14:40:00,14871.2,2021-04-29 09:15:00,14881.95,-10.75,48.60,StopLoss
NIFTY 50,Short,2021-04-29 09:55:00,14920.4,2021-04-29 10:50:00,14820.4,100.0,148.60,TakeProfit
NIFTY 50,Short,2021-05-18 10:10:00,15058.1,2021-05-18 10:25:00,15083.2,-25.1,123.50,IndicatorCross
NIFTY 50,Short,2021-08-03 14:10:00,16030.15,2021-08-03 14:25:00,16047.75,-17.60,105.90,StopLoss
NIFTY 50,Short,2021-08-04 11:10:00,16271.9,2021-08-05 09:15:00,16285.9,-14.0,91.90,StopLoss
NIFTY 50,Short,2021-08-13 13:10:00,16489.55,2021-08-13 13:20:00,16493.3,-3.75,88.15,StopLoss
NIFTY 50,Short,2021-08-31 09:40:00,16925.4,2021-08-31 10:30:00,16973.8,-48.4,39.75,StopLoss
NIFTY 50,Short,2021-09-17 11:10:00,17756.05,2021-09-17 11:40:00,17656.05,100.00,139.75,TakeProfit
NIFTY 50,Short,2021-12-03 09:40:00,17421.25,2021-12-03 12:40:00,17321.25,100.00,239.75,TakeProfit
NIFTY 50,Short,2022-01-03 14:55:00,17612.2,2022-01-03 15:20:00,17638.35,-26.15,213.60,StopLoss
NIFTY 50,Short,2022-01-04 09:40:00,17657.4,2022-01-04 09:55:00,17694.8,-37.4,176.20,StopLoss
NIFTY 50,Short,2022-03-10 11:25:00,16717.55,2022-03-10 12:45:00,16617.55,100.00,276.20,TakeProfit
NIFTY 50,Short,2022-03-15 09:40:00,16845.55,2022-03-15 13:00:00,16745.55,100.00,376.20,TakeProfit
NIFTY 50,Short,2022-05-18 10:10:00,16340.15,2022-05-18 10:40:00,16367.9,-27.75,348.45,IndicatorCross
NIFTY 50,Short,2022-07-19 09:25:00,16257.7,2022-07-19 09:30:00,16258.75,-1.05,347.40,StopLoss
NIFTY 50,Short,2022-07-28 14:10:00,16920.6,2022-07-28 15:05:00,16928.4,-7.8,339.60,StopLoss
NIFTY 50,Short,2022-09-01 09:25:00,17556.45,2022-09-01 09:30:00,17573.95,-17.50,322.10,StopLoss
NIFTY 50,Short,2022-11-01 11:25:00,18138.35,2022-11-01 15:10:00,18148.3,-9.95,312.15,IndicatorCross
NIFTY 50,Long,2022-12-16 11:10:00,18314.55,2022-12-16 14:25:00,18289.75,-24.80,287.35,IndicatorCross
NIFTY 50,Short,2023-03-06 11:25:00,17762.7,2023-03-06 11:35:00,17779.75,-17.05,270.30,StopLoss
NIFTY 50,Short,2023-05-15 14:25:00,18430.95,2023-05-16 13:55:00,18365.4,65.55,335.85,IndicatorCross
NIFTY 50,Short,2023-05-26 15:25:00,18491.9,2023-05-29 09:15:00,18505.7,-13.8,322.05,StopLoss
NIFTY 50,Short,2023-05-29 09:55:00,18603.0,2023-05-29 11:05:00,18628.1,-25.1,296.95,StopLoss
NIFTY 50,Short,2023-06-28 12:40:00,18961.0,2023-06-28 12:50:00,18974.85,-13.85,283.10,StopLoss
NIFTY 50,Short,2023-06-28 13:55:00,18991.25,2023-06-30 09:15:00,19010.4,-19.15,263.95,StopLoss
NIFTY 50,Short,2023-07-03 10:40:00,19310.45,2023-07-03 15:20:00,19336.1,-25.65,238.30,StopLoss
NIFTY 50,Short,2023-07-18 09:40:00,19749.4,2023-07-18 09:55:00,19765.4,-16.0,222.30,IndicatorCross
NIFTY 50,Short,2023-09-04 09:40:00,19468.75,2023-09-04 09:55:00,19485.85,-17.10,205.20,IndicatorCross
NIFTY 50,Long,2023-09-21 11:10:00,19786.3,2023-09-21 12:00:00,19745.45,-40.85,164.35,StopLoss
NIFTY 50,Short,2023-11-16 14:55:00,19845.65,2023-11-16 15:10:00,19745.65,100.00,264.35,TakeProfit
NIFTY 50,Short,2023-11-30 09:55:00,20047.1,2023-11-30 13:40:00,20102.45,-55.35,209.00,IndicatorCross
NIFTY 50,Short,2023-12-05 11:10:00,20822.3,2023-12-05 15:05:00,20849.6,-27.3,181.70,StopLoss
NIFTY 50,Long,2024-01-18 10:10:00,21391.35,2024-01-18 11:10:00,21491.35,100.00,281.70,TakeProfit
NIFTY 50,Short,2024-03-28 14:55:00,22419.95,2024-03-28 15:05:00,22319.95,100.00,381.70,TakeProfit
NIFTY 50,Short,2024-05-23 15:25:00,22951.0,2024-05-24 09:25:00,22993.6,-42.6,339.10,StopLoss
NIFTY 50,Short,2024-07-29 10:10:00,24878.35,2024-07-29 10:55:00,24924.7,-46.35,292.75,StopLoss
NIFTY 50,Short,2024-09-26 15:25:00,26184.65,2024-09-27 09:15:00,26220.55,-35.90,256.85,StopLoss
NIFTY 50,Long,2024-10-03 15:10:00,25258.45,2024-10-03 15:25:00,25246.4,-12.05,244.80,StopLoss
NIFTY 50,Long,2024-10-04 09:40:00,25189.55,2024-10-04 10:00:00,25289.55,100.00,344.80,TakeProfit
NIFTY 50,Short,2024-11-22 15:25:00,23873.5,2024-11-25 09:15:00,23919.55,-46.05,298.75,StopLoss
NIFTY 50,Short,2024-11-25 11:40:00,24305.1,2024-11-25 12:55:00,24205.1,100.0,398.75,TakeProfit
