Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY 50,Short,2015-01-12 09:15:00,8267.6,2015-01-12 10:00:00,8291.35,-23.75,-23.75,StopLoss
NIFTY 50,Short,2015-01-13 14:30:00,8300.35,2015-01-13 15:15:00,8304.9,-4.55,-28.30,EOD SquareOff
NIFTY 50,Short,2015-01-14 09:15:00,8304.85,2015-01-14 09:35:00,8314.15,-9.30,-37.60,StopLoss
NIFTY 50,Short,2015-01-27 09:15:00,8844.65,2015-01-27 14:30:00,8874.7,-30.05,-67.65,StopLoss
NIFTY 50,Short,2015-01-28 09:15:00,8899.35,2015-01-28 09:30:00,8909.35,-10.00,-77.65,StopLoss
NIFTY 50,Short,2015-01-30 09:40:00,8941.0,2015-01-30 11:35:00,8841.0,100.0,22.35,TakeProfit
NIFTY 50,Short,2015-02-03 10:15:00,8788.8,2015-02-03 10:40:00,8806.5,-17.7,4.65,StopLoss
NIFTY 50,Short,2015-02-04 09:15:00,8769.8,2015-02-04 15:15:00,8719.1,50.7,55.35,EOD SquareOff
NIFTY 50,Short,2015-02-05 09:15:00,8710.15,2015-02-05 09:20:00,8733.1,-22.95,32.40,StopLoss
NIFTY 50,Long,2015-02-06 09:20:00,8721.8,2015-02-06 09:35:00,8704.7,-17.1,15.30,StopLoss
NIFTY 50,Long,2015-02-10 09:15:00,8534.4,2015-02-10 11:25:00,8634.4,100.0,115.30,TakeProfit
NIFTY 50,Long,2015-02-12 09:35:00,8638.2,2015-02-12 09:45:00,8629.75,-8.45,106.85,StopLoss
NIFTY 50,Long,2015-02-18 09:15:00,8832.65,2015-02-18 15:15:00,8861.75,29.10,135.95,EOD SquareOff
NIFTY 50,Short,2015-02-19 10:40:00,8852.0,2015-02-19 15:00:00,8866.3,-14.3,121.65,StopLoss
NIFTY 50,Short,2015-02-20 09:15:00,8879.6,2015-02-20 15:15:00,8829.15,50.45,172.10,EOD SquareOff
NIFTY 50,Long,2015-02-23 09:15:00,8858.95,2015-02-23 11:20:00,8839.2,-19.75,152.35,StopLoss
NIFTY 50,Short,2015-02-24 09:15:00,8762.7,2015-02-24 09:50:00,8775.25,-12.55,139.80,StopLoss
NIFTY 50,Short,2015-02-26 09:15:00,8754.05,2015-02-26 15:15:00,8683.6,70.45,210.25,EOD SquareOff
NIFTY 50,Short,2015-02-27 09:20:00,8732.85,2015-02-27 09:25:00,8735.2,-2.35,207.90,StopLoss
NIFTY 50,Short,2015-02-28 12:35:00,8872.05,2015-02-28 13:20:00,8772.05,100.00,307.90,TakeProfit
NIFTY 50,Short,2015-03-02 11:20:00,8903.7,2015-03-02 11:25:00,8914.4,-10.7,297.20,StopLoss
NIFTY 50,Short,2015-03-03 09:15:00,8939.35,2015-03-03 09:45:00,8962.85,-23.50,273.70,StopLoss
NIFTY 50,Short,2015-03-04 14:30:00,8983.6,2015-03-04 15:15:00,8917.55,66.05,339.75,EOD SquareOff
NIFTY 50,Long,2015-03-05 09:25:00,8943.85,2015-03-05 09:30:00,8931.6,-12.25,327.50,StopLoss
NIFTY 50,Short,2015-03-10 09:15:00,8749.5,2015-03-10 10:35:00,8769.75,-20.25,307.25,StopLoss
NIFTY 50,Short,2015-03-11 09:15:00,8725.0,2015-03-11 09:25:00,8739.9,-14.9,292.35,StopLoss
NIFTY 50,Short,2015-03-13 10:05:00,8737.3,2015-03-13 15:05:00,8637.3,100.0,392.35,TakeProfit
NIFTY 50,Short,2015-03-17 13:40:00,8632.85,2015-03-17 13:50:00,8651.1,-18.25,374.10,StopLoss
